"relative.time.stamp,""annotation.inductive.proximity.sensor"",""annotation.analog.pressure.lower.back"",""annotation.bending.sensor.left"",""annotation.bending.sensor.right"",""annotation.digital.pressure.left.shoulder"",""annotation.digital.pressure.right.shoulder"",""annotation.any.activity"",""inductive.proximity.sensor"",""analog.pressure.lower.back"",""bending.sensor.left"",""bending.sensor.right"",""digital.pressure.left.shoulder"",""digital.pressure.right.shoulder"""
48243,0,0,0,0,0,0,0,0,0,75,0,0,0
48434,0,0,0,0,0,0,0,0,0,67,0,0,0
48642,0,0,0,0,0,0,0,0,0,42,0,0,0
48834,0,0,0,0,0,0,0,0,0,85,0,0,0
49026,0,0,0,0,0,0,0,0,0,97,0,0,0
49218,0,0,0,0,0,0,0,0,0,87,0,0,0
49410,0,0,0,0,0,0,0,0,0,47,0,0,0
49617,0,0,0,0,0,0,0,0,0,0,0,0,0
49809,0,0,0,0,0,0,0,0,0,0,0,0,0
50006,0,0,0,0,0,0,0,0,0,0,0,0,0
50193,0,0,0,0,0,0,0,0,0,691,0,0,0
50402,0,0,0,0,0,0,0,0,0,807,0,0,0
50703,0,0,0,0,0,0,0,0,1,289,0,0,0
50897,0,0,0,0,0,0,0,0,13,793,0,0,0
50976,0,0,0,0,0,0,0,0,27,0,0,0,0
51169,0,0,0,0,0,0,0,0,22,798,0,0,0
51376,0,0,0,0,0,0,0,0,6,0,0,0,0
51568,0,0,0,0,0,0,0,0,14,0,0,0,0
51760,0,0,0,0,0,0,0,0,6,0,0,0,0
51952,0,0,0,0,0,0,0,0,15,0,0,0,0
52144,0,0,0,0,0,0,0,0,0,0,0,0,0
52352,0,0,0,0,0,0,0,4,17,0,0,0,0
52546,0,0,0,0,0,0,0,0,80,0,0,0,0
52736,0,0,0,0,0,0,0,5,218,0,0,0,0
52928,0,0,0,0,0,0,0,0,64,0,0,0,0
53120,0,0,0,0,0,0,0,0,138,0,0,0,0
53821,0,0,0,0,0,0,0,0,80,0,0,0,0
53821,0,0,0,0,0,0,0,0,179,0,0,0,0
53821,0,0,0,0,0,0,0,0,414,0,0,0,0
53903,0,0,0,0,0,0,0,0,462,0,0,0,0
54112,0,0,0,0,0,0,0,0,519,0,0,0,0
54303,0,0,0,0,0,0,0,0,444,0,0,0,0
54495,0,0,0,0,0,0,0,0,487,0,0,0,0
54687,0,0,0,0,0,0,0,0,483,0,0,0,0
54895,0,0,0,0,0,0,0,0,497,0,0,0,0
55086,0,0,0,0,0,0,0,0,510,0,0,0,0
55278,0,0,0,0,0,0,1,0,523,0,0,0,0
55470,0,0,0,0,0,0,1,0,525,0,0,0,0
55663,0,0,0,0,0,0,1,0,526,0,0,0,0
55871,0,0,0,0,0,0,1,0,544,0,0,0,0
56062,0,0,0,0,0,0,1,0,551,0,0,0,0
56255,0,0,0,0,0,0,1,0,532,0,0,0,0
56452,0,0,0,0,0,0,1,0,534,0,0,0,0
56654,0,0,0,0,0,0,1,0,541,0,0,0,0
56846,0,0,0,0,0,0,1,0,539,0,0,0,0
57038,0,0,0,0,0,0,1,0,492,0,0,0,0
57230,0,0,0,0,0,0,1,0,445,0,0,0,0
57422,0,0,0,0,0,0,1,0,449,0,0,0,0
57629,0,0,0,0,0,0,0,0,504,0,0,0,0
57821,0,0,0,0,0,0,0,0,537,0,0,0,0
58077,0,0,0,0,0,0,0,0,535,0,0,0,0
58205,0,0,0,0,0,0,0,0,428,0,0,0,0
58398,0,0,0,0,0,0,0,0,508,0,0,0,0
58606,0,0,0,0,0,0,0,0,392,0,0,0,0
58797,0,0,0,0,0,0,0,0,193,0,0,0,0
58989,0,0,0,0,0,0,0,0,0,0,0,0,0
59181,0,0,0,0,0,0,0,0,3,0,0,0,0
59373,0,0,0,0,0,0,0,0,0,0,0,0,0
59581,0,0,0,0,0,0,0,0,1,0,0,0,0
59773,0,0,0,0,0,0,0,0,11,0,0,0,0
59981,0,0,0,0,0,0,0,0,15,0,0,0,0
60156,0,0,0,0,0,0,0,0,34,0,0,0,0
60365,0,0,0,0,0,0,0,0,3,0,0,0,0
60693,0,0,0,0,0,0,0,0,3,0,0,0,0
60748,0,0,0,0,0,0,0,0,6,0,0,0,0
61024,0,0,0,0,0,0,0,0,5,0,0,0,0
61213,0,0,0,0,0,0,0,0,9,0,0,0,0
61381,0,0,0,0,0,0,0,0,0,0,0,0,0
61532,0,0,0,0,0,0,0,0,0,0,0,0,0
61724,0,0,0,0,0,0,0,0,4,0,0,0,0
61915,0,0,0,0,0,0,0,16,18,0,0,0,0
62107,0,0,0,0,0,0,0,8,13,0,0,0,0
62315,0,0,0,0,0,0,0,5,13,0,0,0,0
62507,0,0,0,0,0,0,0,0,13,0,0,0,0
62700,0,0,0,0,0,0,0,0,13,0,0,0,0
62892,0,0,0,0,0,0,1,0,13,0,0,0,0
63099,0,0,0,0,0,0,1,5,14,0,0,0,0
63678,0,0,0,0,0,0,1,2,14,0,0,0,0
63678,0,0,0,0,0,0,1,1,14,0,0,0,0
63678,0,0,0,0,0,0,1,5,15,0,0,0,0
63882,0,0,0,0,0,0,1,5,15,0,0,0,0
64075,0,0,0,0,0,0,1,6,15,0,0,0,0
64266,0,0,0,0,0,0,1,3,17,0,0,0,0
64458,0,0,0,0,0,0,1,5,16,0,0,0,0
64651,0,0,0,0,0,0,1,8,16,0,0,0,0
64859,0,0,0,0,0,0,1,8,14,0,0,0,0
65050,0,0,0,0,0,0,1,3,16,0,0,0,0
65242,0,0,0,0,0,0,1,1,16,0,0,0,0
65435,0,0,0,0,0,0,1,9,15,0,0,0,0
65653,0,0,0,0,0,0,0,9,16,0,0,0,0
65835,0,0,0,0,0,0,0,9,15,0,0,0,0
66026,0,0,0,0,0,0,0,6,16,0,0,0,0
66217,0,0,0,0,0,0,0,10,16,0,0,0,0
66425,0,0,0,0,0,0,0,4,15,0,0,0,0
66617,0,0,0,0,0,0,0,0,15,0,0,0,0
66809,0,0,0,0,0,0,0,6,17,0,0,0,0
67001,0,0,0,0,0,0,0,0,16,0,0,0,0
67193,0,0,0,0,0,0,0,0,14,0,0,0,0
67401,0,0,0,0,0,0,0,0,0,0,0,0,0
67631,0,0,0,0,0,0,0,0,12,0,0,0,0
67785,0,0,0,0,0,0,0,0,23,0,0,0,0
67999,0,0,0,0,0,0,0,1,0,0,0,0,0
68169,0,0,0,0,0,0,0,0,3,0,0,0,0
68376,0,0,0,0,0,0,0,0,11,0,0,0,0
68569,0,0,0,0,0,0,0,8,12,0,0,0,0
68761,0,0,0,0,0,0,0,11,10,0,0,0,0
68952,0,0,0,0,0,0,0,3,9,0,0,0,0
69160,0,0,0,0,0,0,0,6,8,0,0,0,0
69352,0,0,0,0,0,0,0,10,9,129,0,0,0
69544,0,0,0,0,0,0,0,4,12,0,0,0,0
69740,0,0,0,0,0,0,0,0,11,0,0,0,0
69944,0,0,0,0,0,0,0,0,13,0,0,0,0
70136,0,0,0,0,0,0,0,0,12,0,0,0,0
70328,0,0,0,0,0,0,0,0,10,0,0,0,0
70520,0,0,0,0,0,0,0,8,5,0,0,0,0
70737,0,0,0,0,0,0,0,0,637,0,0,0,0
71072,0,0,0,0,0,0,0,0,663,0,0,0,0
71321,0,0,0,0,0,0,0,0,669,0,0,0,0
71322,0,0,0,0,0,0,0,0,638,0,0,0,0
71497,0,0,0,0,0,0,0,0,657,0,0,0,0
71704,0,0,0,0,0,0,0,0,811,0,0,0,0
71896,0,0,0,0,0,0,0,0,836,0,0,0,0
72087,0,0,0,0,0,0,0,0,831,0,0,0,0
72279,0,0,0,0,0,0,0,0,855,0,0,0,0
72471,0,0,0,0,0,0,0,0,616,0,0,0,0
72679,0,0,0,0,0,0,0,0,0,0,0,0,0
72871,0,0,0,0,0,0,0,0,1,0,0,0,0
73063,0,0,0,0,0,0,0,0,0,0,0,0,0
73255,0,0,0,0,0,0,0,0,0,0,0,0,0
73489,0,0,0,0,0,0,0,0,0,0,0,0,0
73654,0,0,0,0,0,0,0,0,1,0,0,0,0
73846,0,0,0,0,0,0,0,0,0,0,0,0,0
74038,0,0,0,0,0,0,0,0,0,0,0,0,0
74231,0,0,0,0,0,0,0,0,476,0,0,0,0
74679,0,0,0,0,0,0,0,0,697,0,0,0,0
74679,0,0,0,0,0,0,0,0,776,0,0,0,0
74821,0,0,0,0,0,0,0,0,842,0,0,0,0
75013,0,0,0,0,0,0,0,0,840,0,0,0,0
75205,0,0,0,0,0,0,0,0,851,0,0,0,0
75413,0,0,0,0,0,0,0,0,859,0,0,0,0
75605,0,0,0,0,0,0,0,0,864,0,0,0,0
